name,price,discount,image
Killer Brown Henley Hoodie T-shirt,1299,600,https://images.bewakoof.com/t320/toffee-full-sleeve-hoodie-t-shirt-394644-1632979264-1.jpg
Anti Poser Hoodie T-shirt,1149,650,https://images.bewakoof.com/t320/anti-poser-hoodie-t-shirt-394642-1639682957-1.jpg
Anti Poser Plus Size Hoodie T-shirt,1399,600,https://images.bewakoof.com/t320/anti-poser-plus-size-hoodie-t-shirt-394643-p-1638263195-1.jpg
Killer Brown Plus Size Sleeve Panel Hoodie T-shirt,999,500,https://images.bewakoof.com/t320/toffee-white-sleeve-panel-full-sleeve-hoodie-t-shirt-405500-1632979499-1.jpg
Vertical Colour Blocked Hoodie,1999,800,https://images.bewakoof.com/t320/marca-disati-vertical-colour-blocked-hoodie-hoodies-411540-1632979279.jpg
Dimensional Chest Print Hoodie,1799,720,https://images.bewakoof.com/t320/marca-disati-dimensional-chest-print-hoodie-hoodies-411506-1632979205.jpg
Houndstooth Tape Sleeves Hoodie,1899,949,https://images.bewakoof.com/t320/marca-disati-houndstooth-tape-sleeves-hoodie-hoodies-411507-1632979211.jpg
Men's Black Stylish Full Sleeve Hooded Casual Sweatshirt,2399,1200,https://images.bewakoof.com/t320/instafab-plus-men-solid-stylish-full-sleeve-hooded-casual-sweatshirts-422874-1633098423-1.jpg
Men's Yellow Stylish Full Sleeve Hooded Casual Sweatshirt,2399,1200,https://images.bewakoof.com/t320/instafab-plus-men-solid-stylish-full-sleeve-hooded-casual-sweatshirts-422875-1633100840-1.jpg
Men's Grey Stylish Full Sleeve Hooded Casual Sweatshirt,2199,1100,https://images.bewakoof.com/t320/instafab-plus-men-solid-stylish-full-sleeve-hooded-casual-sweatshirts-422863-1633097645-1.jpg
